,LHC,orthogonal,orthogonal+,random,intelligent random,intelligent LHC
0,1.5530578512396693,1.487603305785124,1.538181818181818,1.5887603305785125,1.5426446280991735,1.4846280991735537
1,1.5530578512396693,1.538181818181818,1.5619834710743803,1.5560330578512398,1.550082644628099,1.5545454545454545
2,1.535206611570248,1.573884297520661,1.5530578512396693,1.5530578512396693,1.585785123966942,1.5515702479338842
3,1.5917355371900825,1.4965289256198349,1.5500826446280993,1.5411570247933883,1.5679338842975206,1.585785123966942
4,1.5203305785123966,1.573884297520661,1.5530578512396693,1.5054545454545454,1.526280991735537,1.5352066115702478
5,1.570909090909091,1.570909090909091,1.5590082644628098,1.5441322314049586,1.5054545454545454,1.5352066115702478
6,1.5768595041322315,1.5143801652892561,1.523305785123967,1.5679338842975206,1.526280991735537,1.5143801652892561
7,1.585785123966942,1.4935537190082644,1.5411570247933883,1.5441322314049586,1.550082644628099,1.6095867768595042
8,1.5530578512396693,1.582809917355372,1.5143801652892561,1.6869421487603304,1.572396694214876,1.4846280991735537
9,1.5084297520661158,1.5798347107438016,1.523305785123967,1.5917355371900825,1.4965289256198346,1.5471074380165288
10,1.5143801652892561,1.573884297520661,1.5441322314049586,1.538181818181818,1.5575206611570247,1.5173553719008264
11,1.5322314049586776,1.538181818181818,1.535206611570248,1.5619834710743803,1.6229752066115704,1.572396694214876
12,1.4757024793388431,1.5798347107438016,1.5590082644628098,1.5590082644628098,1.5590082644628098,1.5649586776859503
13,1.6095867768595042,1.5471074380165288,1.5560330578512398,1.4905785123966941,1.6289256198347108,1.5173553719008264
14,1.570909090909091,1.5768595041322315,1.5411570247933883,1.4697520661157024,1.5114049586776859,1.5634710743801652
15,1.6125619834710743,1.5590082644628098,1.5798347107438016,1.5114049586776859,1.572396694214876,1.5768595041322313
16,1.5560330578512398,1.5649586776859503,1.5530578512396693,1.582809917355372,1.4965289256198346,1.5292561983471074
17,1.6066115702479338,1.621487603305785,1.5292561983471076,1.5917355371900825,1.5932231404958677,1.548595041322314
18,1.4280991735537192,1.5798347107438016,1.5560330578512398,1.5441322314049586,1.5337190082644627,1.550082644628099
19,1.6006611570247933,1.5560330578512398,1.526280991735537,1.6571900826446282,1.536694214876033,1.526280991735537
20,1.538181818181818,1.5530578512396693,1.5441322314049586,1.6482644628099172,1.524793388429752,1.5173553719008264
21,1.5322314049586776,1.5500826446280993,1.5619834710743803,1.538181818181818,1.5515702479338842,1.4846280991735537
22,1.6006611570247933,1.4905785123966941,1.5560330578512398,1.570909090909091,1.5292561983471074,1.596198347107438
23,1.5560330578512398,1.538181818181818,1.5411570247933883,1.5084297520661158,1.4905785123966941,1.5664462809917354
24,1.5054545454545454,1.5560330578512398,1.5560330578512398,1.573884297520661,1.5024793388429751,1.630413223140496
25,1.4429752066115702,1.5054545454545454,1.5292561983471076,1.4816528925619836,1.5292561983471074,1.5768595041322313
26,1.487603305785124,1.5173553719008264,1.5649586776859503,1.5976859504132233,1.6066115702479338,1.4980165289256198
27,1.5560330578512398,1.5619834710743803,1.5500826446280993,1.7018181818181817,1.4608264462809917,1.5069421487603305
28,1.5292561983471076,1.573884297520661,1.5560330578512398,1.585785123966942,1.4950413223140495,1.512892561983471
29,1.526280991735537,1.526280991735537,1.5560330578512398,1.570909090909091,1.487603305785124,1.6244628099173555
30,1.5560330578512398,1.5917355371900825,1.5798347107438016,1.5619834710743803,1.5590082644628098,1.489090909090909
31,1.573884297520661,1.487603305785124,1.570909090909091,1.5976859504132233,1.5634710743801652,1.597685950413223
32,1.621487603305785,1.5887603305785125,1.5500826446280993,1.642314049586777,1.4742148760330578,1.5932231404958677
33,1.5619834710743803,1.5203305785123966,1.5084297520661158,1.5619834710743803,1.50099173553719,1.6155371900826447
34,1.5292561983471076,1.5679338842975206,1.5173553719008264,1.6185123966942148,1.548595041322314,1.550082644628099
35,1.5471074380165288,1.5917355371900825,1.5322314049586776,1.5917355371900825,1.5158677685950412,1.5560330578512396
36,1.6066115702479338,1.5084297520661158,1.5203305785123966,1.526280991735537,1.4727272727272727,1.4191735537190082
37,1.582809917355372,1.487603305785124,1.5500826446280993,1.645289256198347,1.5292561983471074,1.4905785123966941
38,1.5114049586776859,1.5322314049586776,1.523305785123967,1.5976859504132233,1.56198347107438,1.5024793388429751
39,1.5619834710743803,1.538181818181818,1.5114049586776859,1.5203305785123966,1.5084297520661156,1.526280991735537
40,1.526280991735537,1.5441322314049586,1.538181818181818,1.4727272727272727,1.642314049586777,1.6259504132231406
41,1.5114049586776859,1.5114049586776859,1.5173553719008264,1.4757024793388431,1.584297520661157,1.572396694214876
42,1.5054545454545454,1.5679338842975206,1.5560330578512398,1.5292561983471076,1.548595041322314,1.5798347107438016
